PAIS_ISO3,OMS_REGION,CASOS_ACUM_TOTAL,CASOS_ACUM_TOTAL_POR_100000_HAB,CASOS_NUEVOS_INFORMADOS_ULT_7_DIAS,CASOS_NUEVOS_INFORMADOS_ULT_7_DIAS_POR_100000_HAB,CASOS_NUEVOS_INFORMADOS_ULT_24H,MUERTES_ACUM_INFORMADAS_ULT_7_DIAS,MUERTES_ACUM_TOTAL_POR_100000_HAB,MUERTES_NUEVAS_INFORMADAS_ULT_7_DIAS,MUERTES_NUEVAS_INFORMADAS_ULT_7_DIAS_POR_100000_HAB,MUERTES_NUEVAS_INFORMADAS_ULT_24H
ABW,Americas,44224,41421.426,0,0.0,0,292,273.495,0,0.0,0
TZA,Africa,43078,72.116,0,0.0,0,846,1.416,0,0.0,0
MYT,Africa,42027,15404.945,0,0.0,0,187,68.545,0,0.0,0
TGO,Africa,39513,477.284,0,0.0,0,290,3.503,0,0.0,0
GIN,Africa,38563,293.639,0,0.0,0,468,3.564,0,0.0,0
BHS,Americas,38084,9684.572,0,0.0,0,844,214.625,0,0.0,0
IMN,Europe,38008,44698.466,0,0.0,0,116,136.419,0,0.0,0
GGY,Europe,35326,54796.178,0,0.0,0,67,103.928,0,0.0,0
FRO,Europe,34658,70926.021,0,0.0,0,28,57.301,0,0.0,0
LSO,Africa,34490,1609.99,0,0.0,0,706,32.956,0,0.0,0
HTI,Americas,34315,300.942,0,0.0,0,860,7.542,0,0.0,0
MLI,Africa,33152,163.707,0,0.0,0,743,3.669,0,0.0,0
CYM,Americas,31472,47888.01,0,0.0,0,37,56.299,0,0.0,0
LCA,Americas,30122,16403.906,0,0.0,0,409,222.734,0,0.0,0
BEN,Africa,28014,231.078,0,0.0,0,163,1.345,0,0.0,0
SOM,Eastern Mediterranean,27334,171.985,0,0.0,0,1361,8.563,0,0.0,0
FSM,Western Pacific,26541,23074.516,0,0.0,0,65,56.51,0,0.0,0
VIR,Americas,25389,24313.143,0,0.0,0,132,126.407,0,0.0,0
COG,Africa,25196,456.608,0,0.0,0,389,7.05,0,0.0,0
SMR,Europe,24504,72202.251,0,0.0,0,126,371.265,0,0.0,0
TLS,South-East Asia,23460,1779.369,0,0.0,0,138,10.467,0,0.0,0
BFA,Africa,22056,105.515,0,0.0,0,396,1.894,0,0.0,0
SLB,Western Pacific,21611,3146.237,0,0.0,0,153,22.275,0,0.0,0
LIE,Europe,21479,55433.969,0,0.0,0,87,224.534,0,0.0,0
GIB,Europe,20550,60995.518,0,0.0,0,113,335.401,0,0.0,0
GRD,Americas,19693,17501.311,0,0.0,0,238,211.512,0,0.0,0
BMU,Americas,18860,30285.999,0,0.0,0,165,264.962,0,0.0,0
SDN,Africa,18368,164.092,0,0.0,0,138,1.233,0,0.0,0
TJK,Europe,17786,186.482,0,0.0,0,125,1.311,0,0.0,0
GNQ,Africa,17130,1220.968,0,0.0,0,183,13.044,0,0.0,0
MCO,Europe,16931,43142.901,0,0.0,0,67,170.727,0,0.0,0
TON,Western Pacific,16821,15914.66,0,0.0,0,12,11.353,0,0.0,0
WSM,Western Pacific,16778,8456.057,0,0.0,0,31,15.624,0,0.0,0
MHL,Western Pacific,16119,27230.8,0,0.0,0,17,28.719,0,0.0,0
NIC,Americas,15984,241.284,0,0.0,0,245,3.698,0,0.0,0
DMA,Americas,15760,21891.625,0,0.0,0,74,102.791,0,0.0,0
DJI,Eastern Mediterranean,15690,1588.057,0,0.0,0,189,19.13,0,0.0,0
CAF,Africa,15367,318.173,0,0.0,0,113,2.34,0,0.0,0
MNP,Western Pacific,14238,24737.217,0,0.0,0,41,71.234,0,0.0,0
GMB,Africa,12626,522.455,0,0.0,0,372,15.393,0,0.0,0
MAF,Americas,12324,31878.735,0,0.0,0,46,118.989,0,0.0,0
VUT,Western Pacific,12019,3913.135,0,0.0,0,14,4.558,0,0.0,0
GRL,Europe,11971,21086.099,0,0.0,0,21,36.99,0,0.0,0
YEM,Eastern Mediterranean,11945,40.049,0,0.0,0,2159,7.239,0,0.0,0
Z99,Americas,11051,25770.72,0,0.0,0,92,214.542,0,0.0,0
ERI,Africa,10189,287.304,0,0.0,0,103,2.904,0,0.0,0
Z99,Americas,9864,47162.324,0,0.0,0,33,157.781,0,0.0,0
VCT,Americas,9631,8681.269,0,0.0,0,124,111.772,0,0.0,0
GNB,Africa,9614,488.516,0,0.0,0,177,8.994,0,0.0,0
NER,Africa,9515,39.307,0,0.0,0,315,1.301,0,0.0,0
COM,Africa,9109,1047.492,0,0.0,0,160,18.399,0,0.0,0
ATG,Americas,9106,9298.573,0,0.0,0,146,149.088,0,0.0,0
ASM,Western Pacific,8341,15111.329,0,0.0,0,34,61.598,0,0.0,0
LBR,Africa,8090,159.955,0,0.0,0,294,5.813,0,0.0,0
SLE,Africa,7762,97.305,0,0.0,0,125,1.567,0,0.0,0
TCD,Africa,7698,46.865,0,0.0,0,194,1.181,0,0.0,0
VGB,Americas,7305,24159.143,0,0.0,0,64,211.661,0,0.0,0
COK,Western Pacific,7128,40583.011,0,0.0,0,2,11.387,0,0.0,0
TCA,Americas,6630,17123.818,0,0.0,0,39,100.728,0,0.0,0
KNA,Americas,6607,12421.041,0,0.0,0,46,86.479,0,0.0,0
STP,Africa,6596,3009.687,0,0.0,0,80,36.503,0,0.0,0
PLW,Western Pacific,6227,34418.528,0,0.0,0,9,49.746,0,0.0,0
