,Province_State,Confirmed,Deaths,Recovered,Active,ISO3,Date
9855,Virginia,1636510,18536,,,USA,26.02.2022
9856,Washington,1417498,11831,,,USA,26.02.2022
9857,West Virginia,488359,6308,,,USA,26.02.2022
9858,Wisconsin,1570460,13256,,,USA,26.02.2022
9859,Wyoming,154909,1718,,,USA,26.02.2022
9860,Alabama,1638348,20932,,,USA,
9861,Alaska,306623,1486,,,USA,
9862,American Samoa,8320,34,,,ASM,
9863,Arizona,2434631,33042,,,USA,
9864,Arkansas,1004353,12975,,,USA,
9865,California,12086049,100726,,,USA,
9866,Colorado,1759969,14106,,,USA,
9867,Connecticut,974736,12145,,,USA,
9868,Delaware,330332,3309,,,USA,
9869,Diamond Princess,49,0,,,USA,
9870,District of Columbia,177504,1427,,,USA,
9871,Florida,7516906,86294,,,USA,
9872,Georgia,3061485,42332,,,USA,
9873,Grand Princess,103,3,,,USA,
9874,Guam,60969,420,,,GUM,
9875,Hawaii,379100,1822,,,USA,
9876,Idaho,518431,5393,,,USA,
9877,Illinois,4062200,41379,,,USA,
9878,Indiana,2043069,26045,,,USA,
9879,Iowa,900343,10671,,,USA,
9880,Kansas,934504,10034,,,USA,
9881,Kentucky,1708442,18055,,,USA,
9882,Louisiana,1566105,18706,,,USA,
9883,Maine,315068,2917,,,USA,
9884,Maryland,1360120,16448,,,USA,
9885,Massachusetts,2216870,24131,,,USA,
9886,Michigan,3049739,41957,,,USA,
9887,Minnesota,1770117,14766,,,USA,
9888,Mississippi,987105,13320,,,USA,
9889,Missouri,1770025,22760,,,USA,
9890,Montana,328668,3651,,,USA,
9891,Nebraska,564355,4879,,,USA,
9892,Nevada,887801,11911,,,USA,
9893,New Hampshire,376862,2987,,,USA,
9894,New Jersey,3038713,35950,,,USA,
9895,New Mexico,668677,9020,,,USA,
9896,New York,6777288,77081,,,USA,
9897,North Carolina,3459600,28346,,,USA,
9898,North Dakota,286429,2463,,,USA,
9899,Northern Mariana Islands,13631,41,,,MNP,
9900,Ohio,3382995,41749,,,USA,
9901,Oklahoma,1284450,17887,,,USA,
9902,Oregon,959393,9335,,,USA,
9903,Pennsylvania,3512137,50168,,,USA,
9904,Puerto Rico,1097979,5791,,,PRI,
9905,Rhode Island,459256,3860,,,USA,
9906,South Carolina,1827620,19490,,,USA,
9907,South Dakota,277651,3175,,,USA,
9908,Tennessee,2510167,29224,,,USA,
9909,Texas,8434751,93161,,,USA,
9910,Utah,1087149,5276,,,USA,
9911,Vermont,151477,910,,,USA,
9912,Virgin Islands,24757,130,,,VIR,
9913,Virginia,2282206,23630,,,USA,
9914,Washington,1924418,15622,,,USA,
9915,West Virginia,639246,7926,,,USA,
9916,Wisconsin,1998656,16292,,,USA,
9917,Wyoming,184816,1998,,,USA,
9918,Alabama,492683,9930,285130.0,197623.0,USA,27.02.2021
9919,Alaska,58295,290,,,USA,27.02.2021
9920,American Samoa,0,0,,,ASM,27.02.2021
9921,Arizona,815707,15967,,,USA,27.02.2021
9922,Arkansas,319195,5417,309268.0,4510.0,USA,27.02.2021
9923,California,3622723,51927,,,USA,27.02.2021
9924,Colorado,443525,6072,,,USA,27.02.2021
9925,Connecticut,279946,7622,,,USA,27.02.2021
9926,Delaware,86517,1418,,,USA,27.02.2021
9927,Diamond Princess,49,0,,,USA,27.02.2021
9928,District of Columbia,40478,1010,28842.0,10626.0,USA,27.02.2021
9929,Florida,1903682,30734,,,USA,27.02.2021
9930,Georgia,1004187,17294,,,USA,27.02.2021
9931,Grand Princess,103,3,,,USA,27.02.2021
9932,Guam,7734,130,7564.0,40.0,GUM,27.02.2021
9933,Hawaii,28369,439,,,USA,27.02.2021
9934,Idaho,171140,1860,93975.0,75305.0,USA,27.02.2021
9935,Illinois,1185447,22710,,,USA,27.02.2021
9936,Indiana,660942,12556,,,USA,27.02.2021
9937,Iowa,336282,5470,314750.0,16062.0,USA,27.02.2021
9938,Kansas,295631,4730,,,USA,27.02.2021
9939,Kentucky,403947,4625,47525.0,351797.0,USA,27.02.2021
9940,Louisiana,428592,9587,408463.0,10542.0,USA,27.02.2021
9941,Maine,44493,702,12798.0,30993.0,USA,27.02.2021
9942,Maryland,381272,7856,9659.0,363757.0,USA,27.02.2021
9943,Massachusetts,579680,13324,494740.0,68873.0,USA,27.02.2021
