PROVINCIA_ESTADO,CASOS_CONFIRMADOS,DEFUNCIONES,CASOS_RECUPERADOS,CASOS_ACTIVOS,PAIS_ISO3,FECHA
Pennsylvania,2077224,36715,,,USA,02.01.2022
Puerto Rico,292662,3310,,,PRI,02.01.2022
Rhode Island,231096,3066,,,USA,02.01.2022
South Carolina,975320,14636,,,USA,02.01.2022
South Dakota,179204,2486,,,USA,02.01.2022
Tennessee,1451327,20783,,,USA,02.01.2022
Texas,4734215,75693,,,USA,02.01.2022
Utah,636992,3787,,,USA,02.01.2022
Vermont,64447,471,,,USA,02.01.2022
Virgin Islands,10106,89,,,VIR,02.01.2022
Virginia,1118518,15587,,,USA,02.01.2022
Washington,849075,9853,,,USA,02.01.2022
West Virginia,328162,5336,,,USA,02.01.2022
Wisconsin,1120663,11173,,,USA,02.01.2022
Wyoming,115638,1526,,,USA,02.01.2022
Alabama,1568934,20737,,,USA,
Alaska,301432,1455,,,USA,
American Samoa,8266,34,,,ASM,
Arizona,2378334,32182,,,USA,
Arkansas,985945,12695,,,USA,
California,11835892,98544,,,USA,
Colorado,1736226,13882,,,USA,
Connecticut,949661,11781,,,USA,
Delaware,321888,3206,,,USA,
Diamond Princess,49,0,,,USA,
District of Columbia,173386,1411,,,USA,
Florida,7338503,83906,,,USA,
Georgia,2985193,41417,,,USA,
Grand Princess,103,3,,,USA,
Guam,60020,411,,,GUM,
Hawaii,372198,1761,,,USA,
Idaho,511601,5316,,,USA,
Illinois,3969832,40678,,,USA,
Indiana,2002760,25364,,,USA,
Iowa,886411,10424,,,USA,
Kansas,917065,9717,,,USA,
Kentucky,1662581,17671,,,USA,
Louisiana,1514113,18370,,,USA,
Maine,306647,2790,,,USA,
Maryland,1318234,15967,,,USA,
Massachusetts,2154886,22940,,,USA,
Michigan,2988654,40767,,,USA,
Minnesota,1736893,14320,,,USA,
Mississippi,955145,13097,,,USA,
Missouri,1732724,22246,,,USA,
Montana,323055,3621,,,USA,
Nebraska,555114,4685,,,USA,
Nevada,876118,11751,,,USA,
New Hampshire,367542,2856,,,USA,
New Jersey,2926834,35510,,,USA,
New Mexico,659056,8814,,,USA,
New York,6578006,75139,,,USA,
North Carolina,3316814,27629,,,USA,
North Dakota,280850,2427,,,USA,
Northern Mariana Islands,13319,41,,,MNP,
Ohio,3307568,41269,,,USA,
Oklahoma,1250013,17412,,,USA,
Oregon,939303,8962,,,USA,
Pennsylvania,3416848,48892,,,USA,
